Year,Month,NumCases
2013,4,1157
2013,5,1201
2013,6,1303
2013,7,1410
2013,8,1292
2013,9,1169
2013,10,1195
2013,11,1190
2013,12,1193
2014,1,1122
2014,2,939
2014,3,1116
2014,4,1162
2014,5,1300
2014,6,1208
2014,7,1258
2014,8,1292
2014,9,1182
2014,10,1265
2014,11,1178
2014,12,1309
