Year,Month,NumCases,Relationship_Acquaintance,Relationship_Boyfriend,Relationship_Boyfriend/Girlfriend,Relationship_Brother,Relationship_Common-Law Husband,Relationship_Common-Law Wife,Relationship_Daughter,Relationship_Employee,Relationship_Employer,Relationship_Ex-Husband,Relationship_Ex-Wife,Relationship_Family,Relationship_Father,Relationship_Friend,Relationship_Girlfriend,Relationship_Husband,Relationship_In-Law,Relationship_Mother,Relationship_Neighbor,Relationship_Sister,Relationship_Son,Relationship_Stepdaughter,Relationship_Stepfather,Relationship_Stepmother,Relationship_Stepson,Relationship_Stranger,Relationship_Unknown,Relationship_Wife,Crime Solved_No,Crime Solved_Yes,Crime Type_Manslaughter by Negligence,Crime Type_Murder or Manslaughter,Victim Race_Asian/Pacific Islander,Victim Race_Black,Victim Race_Native American/Alaska Native,Victim Race_Unknown,Victim Race_White,Perpetrator Sex_Female,Perpetrator Sex_Male,Perpetrator Sex_Unknown,Weapon_Blunt Object,Weapon_Drowning,Weapon_Drugs,Weapon_Explosives,Weapon_Fall,Weapon_Fire,Weapon_Firearm,Weapon_Gun,Weapon_Handgun,Weapon_Knife,Weapon_Poison,Weapon_Rifle,Weapon_Shotgun,Weapon_Strangulation,Weapon_Suffocation,Weapon_Unknown,Victim Sex_Female,Victim Sex_Male,Victim Sex_Unknown,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhodes Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Perpetrator Race_Asian/Pacific Islander,Perpetrator Race_Black,Perpetrator Race_Native American/Alaska Native,Perpetrator Race_Unknown,Perpetrator Race_White,Perpetrator Count,Victim Count
1980,11,1861,398,24,3,25,20,10,13,0,0,3,6,23,16,61,32,52,11,4,12,10,31,1,6,1,5,294,711,89,565,1296,40,1821,12,763,17,55,1014,183,1113,565,191,5,2,2,1,11,66,3,857,353,0,100,154,29,14,73,429,1432,0,35,5,25,15,320,20,22,8,21,127,34,6,3,103,30,5,14,23,47,7,44,12,80,17,16,32,1,1,21,2,46,9,190,38,0,62,18,14,80,3,32,1,39,145,7,3,40,15,14,8,1,4,594,12,614,637,281,188
1980,12,1965,430,18,1,21,4,9,17,1,3,4,10,29,15,69,23,46,18,10,21,4,32,0,5,0,4,311,776,84,642,1323,16,1949,10,813,14,84,1044,170,1153,642,195,2,0,0,1,40,63,4,981,355,5,79,135,34,6,65,412,1551,2,45,3,27,14,333,17,14,2,0,131,43,0,3,116,29,5,10,36,48,6,41,18,91,5,21,40,2,0,12,0,40,14,301,41,0,61,19,6,68,4,23,0,40,151,5,1,34,16,11,16,2,3,597,7,685,673,297,378
1981,1,1987,520,20,2,29,13,8,18,0,0,3,7,33,15,78,31,55,24,7,29,2,33,3,6,0,6,310,666,69,538,1449,25,1962,12,860,13,11,1091,208,1241,538,201,5,2,2,2,14,79,1,978,339,2,89,171,34,7,61,441,1546,0,50,6,32,25,259,22,13,6,19,148,54,4,3,110,40,16,13,22,59,2,46,17,71,6,28,44,4,2,15,0,65,0,200,41,3,84,38,9,57,2,33,1,37,200,3,0,33,19,7,19,0,6,680,11,550,740,315,236
1981,2,1777,405,27,2,25,18,7,14,2,2,1,4,24,16,74,26,44,13,7,24,3,19,0,4,0,4,313,620,79,492,1285,18,1759,17,769,12,8,971,168,1117,492,194,4,0,3,3,28,69,2,843,324,0,88,135,30,13,41,389,1388,0,37,3,15,20,283,21,9,2,20,147,44,4,4,100,16,8,13,24,55,5,41,10,69,4,19,37,5,4,19,1,45,1,141,44,1,68,23,14,62,3,23,2,46,177,3,1,39,17,6,21,1,11,633,10,496,627,247,216
1981,3,1910,475,13,5,17,14,8,27,0,1,5,3,24,19,90,26,60,15,12,18,10,38,3,6,4,4,345,594,74,488,1422,27,1883,16,846,9,17,1022,197,1225,488,217,4,1,2,0,32,84,3,915,336,1,82,134,28,16,55,408,1501,1,46,7,24,24,249,25,12,1,20,151,47,5,3,108,31,8,13,26,55,2,44,19,71,8,25,42,0,3,11,6,47,0,183,42,1,70,25,7,59,3,33,2,43,197,6,0,53,28,9,15,1,9,685,8,498,710,315,226
1981,4,1771,422,28,8,18,14,10,19,3,0,1,10,14,22,63,22,50,25,10,25,3,25,3,8,0,1,288,595,84,491,1280,23,1748,10,734,6,15,1006,182,1098,491,181,5,2,2,1,20,55,3,837,343,1,77,124,35,19,66,388,1383,0,38,1,17,19,257,19,11,2,8,141,40,2,3,90,34,3,16,28,35,0,33,19,65,3,12,44,1,1,14,0,54,0,175,45,1,60,20,10,74,3,25,0,37,227,3,0,30,20,18,12,1,8,562,6,502,693,241,176
1981,5,1860,458,26,8,26,16,11,21,3,0,1,4,22,14,87,29,51,14,9,36,4,22,1,2,1,7,287,618,82,488,1372,23,1837,12,835,17,14,982,184,1188,488,179,9,1,1,1,30,66,20,860,377,0,92,112,34,12,66,401,1455,4,29,14,20,16,286,17,22,0,20,138,64,6,6,97,18,3,8,29,39,3,44,23,78,10,20,54,4,5,15,0,44,0,157,43,0,70,22,14,71,1,14,0,37,203,10,0,41,23,10,10,2,10,657,14,498,681,213,222
1981,6,1714,462,25,5,17,12,16,23,1,2,1,9,20,6,70,30,65,16,6,24,2,21,4,9,1,1,278,523,65,409,1305,13,1701,25,780,9,1,899,194,1111,409,172,6,4,1,0,29,49,17,754,348,2,85,159,25,11,52,377,1337,0,41,2,17,11,285,27,12,4,20,126,49,4,2,107,25,4,18,25,66,0,41,13,73,6,15,41,2,6,22,2,40,3,15,46,0,70,33,5,63,8,27,1,29,220,5,3,40,17,10,11,2,18,660,8,410,618,208,150
1981,7,1930,456,22,8,23,16,9,15,3,1,3,10,37,18,75,41,66,20,10,41,1,22,2,4,0,5,362,587,73,514,1416,22,1908,23,830,17,18,1042,205,1211,514,225,10,1,0,2,26,66,12,848,369,1,90,165,28,22,65,419,1508,3,33,5,21,16,312,27,16,1,16,128,46,8,2,107,24,10,14,21,52,2,36,18,87,4,21,42,4,8,10,4,54,0,203,43,0,77,28,9,52,9,40,2,34,208,6,0,39,11,6,9,5,20,680,10,521,699,277,206
1981,8,1804,484,26,8,30,9,7,8,0,1,4,5,26,16,70,32,59,24,8,39,2,29,3,1,4,9,307,521,72,410,1394,32,1772,15,800,9,13,967,199,1195,410,201,5,1,0,0,15,57,12,839,343,2,98,128,28,9,66,389,1414,1,42,6,20,21,209,19,12,4,21,115,30,1,2,131,40,4,14,22,51,1,34,21,75,11,22,52,0,9,13,2,42,0,146,61,1,75,28,10,62,6,31,0,39,215,6,0,34,16,13,11,4,5,666,10,422,701,214,116
