Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
County Police,Florida,Dade,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Texas,Bexar,Murder or Manslaughter,Male,19,Black,Not Hispanic,Shotgun,0,0,Yes,False
Municipal Police,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,50,Black,Unknown,Blunt Object,0,0,Yes,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Female,15,Black,Unknown,Firearm,1,0,No,False
Municipal Police,California,Alameda,Murder or Manslaughter,Male,25,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,San Joaquin,Murder or Manslaughter,Female,22,White,Not Hispanic,Unknown,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,64,White,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Florida,Palm Beach,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Female,3,Black,Unknown,Blunt Object,0,1,Yes,True
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Female,37,Asian/Pacific Islander,Not Hispanic,Unknown,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,26,Asian/Pacific Islander,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Female,51,Black,Unknown,Blunt Object,0,0,No,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,998,Black,Not Hispanic,Firearm,0,1,Yes,True
Municipal Police,California,Kern,Murder or Manslaughter,Female,26,White,Hispanic,Unknown,0,0,No,False
County Police,Georgia,Fulton,Manslaughter by Negligence,Male,38,White,Unknown,Unknown,1,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,1,Yes,False
County Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,53,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Male,31,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,33,White,Unknown,Blunt Object,3,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,56,White,Unknown,Unknown,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,28,White,Unknown,Handgun,0,0,No,False
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,40,Black,Unknown,Handgun,0,0,No,False
County Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,65,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Female,58,Unknown,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,51,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,1,1,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,0,White,Hispanic,Unknown,0,1,Yes,True
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,33,White,Unknown,Knife,0,0,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,43,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Minnesota,Minnesota_othercity,Manslaughter by Negligence,Male,44,White,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,New York,Erie,Murder or Manslaughter,Male,38,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,51,Black,Unknown,Knife,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,18,White,Unknown,Handgun,0,0,No,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,56,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,22,White,Hispanic,Handgun,0,0,Yes,False
State Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,43,White,Not Hispanic,Shotgun,1,1,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,32,White,Hispanic,Unknown,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,54,Black,Unknown,Handgun,0,0,No,False
County Police,Maryland,Maryland_othercity,Murder or Manslaughter,Male,31,Black,Not Hispanic,Knife,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,50,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,56,Black,Unknown,Handgun,0,0,No,False
State Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,37,White,Unknown,Handgun,0,2,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,39,White,Hispanic,Firearm,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,20,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,25,Black,Unknown,Handgun,0,0,No,False
Municipal Police,California,San Diego,Murder or Manslaughter,Male,42,Unknown,Unknown,Firearm,0,0,No,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Ohio,Franklin,Murder or Manslaughter,Male,45,White,Unknown,Firearm,0,1,No,False
Municipal Police,Wisconsin,Wisconsin_othercity,Murder or Manslaughter,Female,38,White,Unknown,Handgun,1,0,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,54,White,Hispanic,Blunt Object,0,1,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,51,White,Unknown,Shotgun,0,0,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,29,White,Hispanic,Handgun,0,2,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,73,White,Not Hispanic,Knife,3,0,Yes,False
Sheriff,Utah,Utah_othercity,Murder or Manslaughter,Male,70,White,Unknown,Handgun,0,0,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,37,White,Hispanic,Handgun,0,0,No,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Male,43,White,Unknown,Shotgun,0,1,Yes,False
Sheriff,Michigan,Michigan_othercity,Murder or Manslaughter,Male,35,White,Unknown,Firearm,0,0,Yes,False
County Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,2,Yes,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,47,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,20,White,Hispanic,Handgun,1,0,Yes,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,No,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,31,Black,Not Hispanic,Rifle,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,48,Black,Unknown,Unknown,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Female,42,White,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,38,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,42,White,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,23,Black,Unknown,Rifle,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,36,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,No,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Female,27,White,Not Hispanic,Unknown,0,0,Yes,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Male,35,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,20,Black,Unknown,Unknown,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,51,White,Unknown,Blunt Object,2,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,3,White,Hispanic,Strangulation,0,0,Yes,True
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,26,White,Unknown,Handgun,1,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,No,False
Sheriff,Iowa,Iowa_othercity,Murder or Manslaughter,Male,46,White,Unknown,Shotgun,0,1,Yes,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,32,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,28,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Indiana,Lake,Murder or Manslaughter,Male,48,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Female,42,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,18,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,36,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Tennessee,Shelby,Murder or Manslaughter,Male,23,Black,Unknown,Firearm,0,1,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,50,White,Unknown,Handgun,0,0,Yes,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Female,4,White,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,21,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,35,Black,Unknown,Handgun,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,16,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,22,Black,Not Hispanic,Firearm,0,0,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,68,White,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,22,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,22,White,Hispanic,Unknown,0,0,Yes,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Male,37,White,Hispanic,Unknown,0,0,Yes,False
Municipal Police,Massachusetts,Massachusetts_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,84,White,Unknown,Shotgun,0,0,Yes,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,42,Black,Unknown,Handgun,0,1,Yes,False
State Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,54,White,Unknown,Handgun,0,1,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,51,Black,Unknown,Fire,4,0,Yes,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Male,17,White,Hispanic,Firearm,0,0,Yes,False
Municipal Police,Minnesota,Minnesota_othercity,Murder or Manslaughter,Female,23,Black,Not Hispanic,Unknown,1,0,No,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,24,Black,Unknown,Handgun,0,1,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,27,White,Hispanic,Knife,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,51,Asian/Pacific Islander,Unknown,Blunt Object,0,1,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,21,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Female,26,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Florida,Hillsborough,Murder or Manslaughter,Male,23,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Female,18,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Ohio,Cuyahoga,Murder or Manslaughter,Male,26,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,49,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,67,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,30,Black,Unknown,Handgun,0,1,Yes,False
Municipal Police,Mississippi,Mississippi_othercity,Murder or Manslaughter,Male,42,Black,Unknown,Rifle,0,0,No,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,28,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Wisconsin,Milwaukee,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,1,3,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,57,Black,Unknown,Knife,0,0,Yes,False
Municipal Police,Minnesota,Minnesota_othercity,Murder or Manslaughter,Male,42,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,47,Asian/Pacific Islander,Not Hispanic,Unknown,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Female,29,Black,Not Hispanic,Handgun,0,0,No,False
State Police,Michigan,Michigan_othercity,Murder or Manslaughter,Male,27,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,New Jersey,New Jersey_othercity,Murder or Manslaughter,Male,22,White,Unknown,Firearm,0,0,No,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,17,Black,Unknown,Handgun,0,0,Yes,False
County Police,Georgia,De Kalb,Murder or Manslaughter,Male,32,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,21,Black,Unknown,Rifle,0,1,Yes,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,42,White,Unknown,Handgun,0,1,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,26,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Wisconsin,Wisconsin_othercity,Murder or Manslaughter,Female,44,White,Unknown,Firearm,0,0,No,False
Municipal Police,New Mexico,Bernalillo,Murder or Manslaughter,Female,2,White,Not Hispanic,Blunt Object,0,1,Yes,True
Municipal Police,New Jersey,Essex,Murder or Manslaughter,Male,26,Black,Unknown,Handgun,0,0,Yes,False
Sheriff,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,38,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,22,White,Unknown,Handgun,0,1,Yes,False
Sheriff,Arizona,Arizona_othercity,Murder or Manslaughter,Male,38,White,Unknown,Knife,0,0,Yes,False
Municipal Police,California,Orange,Murder or Manslaughter,Male,33,White,Hispanic,Handgun,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Female,2,White,Hispanic,Knife,2,0,Yes,True
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,28,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,47,White,Unknown,Unknown,0,0,Yes,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Female,11,White,Hispanic,Handgun,1,0,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,36,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,3,Yes,False
Municipal Police,South Carolina,South Carolina_othercity,Murder or Manslaughter,Male,24,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,24,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,New York,New York_othercity,Murder or Manslaughter,Male,40,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,68,White,Hispanic,Knife,0,0,Yes,False
Municipal Police,Kansas,Kansas_othercity,Murder or Manslaughter,Male,22,Black,Not Hispanic,Firearm,1,0,No,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,16,Black,Unknown,Firearm,0,0,No,False
Municipal Police,California,Fresno,Murder or Manslaughter,Male,42,Black,Not Hispanic,Firearm,0,0,Yes,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,47,White,Not Hispanic,Rifle,0,0,Yes,False
County Police,Florida,Dade,Murder or Manslaughter,Male,22,Black,Unknown,Firearm,0,0,Yes,False
County Police,New York,New York_othercity,Murder or Manslaughter,Male,17,White,Hispanic,Firearm,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,24,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,1,Yes,False
Municipal Police,Louisiana,East Baton Rouge,Murder or Manslaughter,Male,24,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Louisiana_othercity,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,35,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,26,Black,Unknown,Gun,1,0,Yes,False
Municipal Police,Florida,Broward,Murder or Manslaughter,Male,22,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Connecticut,Connecticut_othercity,Murder or Manslaughter,Male,28,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,34,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,32,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,27,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,1,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Female,43,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Texas,Harris,Murder or Manslaughter,Male,51,White,Hispanic,Firearm,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,89,White,Not Hispanic,Knife,1,0,No,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,69,White,Unknown,Firearm,0,0,No,False
Municipal Police,Connecticut,Connecticut_othercity,Murder or Manslaughter,Male,28,White,Hispanic,Firearm,0,0,Yes,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,40,Black,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Female,49,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Texas,Harris,Manslaughter by Negligence,Male,18,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Oklahoma,Oklahoma_othercity,Murder or Manslaughter,Female,22,White,Hispanic,Handgun,2,0,Yes,False
Municipal Police,California,Alameda,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,1,0,No,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Male,31,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Female,31,White,Not Hispanic,Handgun,0,0,No,False
State Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,29,Unknown,Unknown,Handgun,0,0,No,False
Municipal Police,Missouri,St. Louis city,Murder or Manslaughter,Female,56,Black,Not Hispanic,Handgun,0,0,Yes,False
County Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,21,Black,Unknown,Handgun,0,0,No,False
Municipal Police,Washington,King,Murder or Manslaughter,Male,20,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,29,Asian/Pacific Islander,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,3,Black,Not Hispanic,Handgun,0,0,No,True
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Male,29,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Ohio,Ohio_othercity,Murder or Manslaughter,Male,56,Black,Unknown,Blunt Object,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Female,26,White,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Female,40,White,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Male,50,Black,Unknown,Blunt Object,0,0,Yes,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,34,White,Unknown,Handgun,0,0,Yes,False
Municipal Police,Missouri,Jackson,Murder or Manslaughter,Male,41,White,Unknown,Firearm,0,0,No,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
County Police,Missouri,Missouri_othercity,Murder or Manslaughter,Female,0,White,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,46,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Mississippi,Hinds,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Kentucky,Kentucky_othercity,Murder or Manslaughter,Male,75,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Virginia,Virginia_othercity,Murder or Manslaughter,Male,31,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,California,San Diego,Murder or Manslaughter,Male,25,White,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Female,36,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,25,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,63,White,Hispanic,Blunt Object,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Male,36,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,22,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,52,White,Not Hispanic,Knife,0,0,No,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Male,21,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,23,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,28,White,Not Hispanic,Handgun,0,1,Yes,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,31,Black,Unknown,Handgun,0,0,Yes,False
State Police,Utah,Utah_othercity,Murder or Manslaughter,Female,3,White,Unknown,Unknown,2,0,Yes,True
Municipal Police,Ohio,Hamilton,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,34,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,New Mexico,Bernalillo,Murder or Manslaughter,Male,44,Black,Not Hispanic,Fire,0,0,No,False
State Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,50,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,29,Black,Unknown,Firearm,0,0,No,False
County Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,1,Black,Unknown,Blunt Object,0,0,Yes,True
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,27,Black,Not Hispanic,Shotgun,0,0,No,False
Municipal Police,Colorado,Colorado_othercity,Murder or Manslaughter,Female,18,White,Unknown,Rifle,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,43,White,Not Hispanic,Blunt Object,0,0,Yes,False
Municipal Police,Utah,Utah_othercity,Murder or Manslaughter,Male,34,White,Unknown,Firearm,0,1,Yes,False
Municipal Police,Washington,Washington_othercity,Murder or Manslaughter,Male,32,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,22,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,30,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,37,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,31,Asian/Pacific Islander,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Tennessee,Tennessee_othercity,Murder or Manslaughter,Female,36,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,26,White,Unknown,Knife,0,0,Yes,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,58,White,Unknown,Handgun,0,0,No,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,4,Black,Unknown,Unknown,0,0,Yes,True
Sheriff,Indiana,Indiana_othercity,Murder or Manslaughter,Male,60,White,Unknown,Firearm,0,2,Yes,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,23,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Wisconsin,Milwaukee,Murder or Manslaughter,Male,24,Black,Unknown,Firearm,0,0,Yes,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Female,28,White,Unknown,Knife,0,0,Yes,False
Municipal Police,Arizona,Arizona_othercity,Murder or Manslaughter,Male,79,White,Not Hispanic,Unknown,0,0,No,False
Municipal Police,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,47,Black,Unknown,Handgun,1,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,20,White,Hispanic,Knife,0,0,No,False
