Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,26,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,21,White,Hispanic,Knife,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Female,62,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,Michigan,Wayne,Murder or Manslaughter,Male,38,Black,Unknown,Handgun,1,5,Yes,False
Municipal Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,20,Black,Not Hispanic,Handgun,0,1,Yes,False
Municipal Police,Indiana,Marion,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,California,San Bernardino,Murder or Manslaughter,Male,0,White,Hispanic,Suffocation,0,0,No,True
Municipal Police,Missouri,Missouri_othercity,Murder or Manslaughter,Male,36,White,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Illinois,Cook,Murder or Manslaughter,Male,23,Black,Unknown,Handgun,0,0,No,False
Municipal Police,New Mexico,New Mexico_othercity,Murder or Manslaughter,Male,16,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,30,Black,Unknown,Handgun,1,1,No,False
County Police,Florida,Dade,Murder or Manslaughter,Male,63,White,Unknown,Firearm,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,19,Black,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Female,32,Black,Unknown,Unknown,0,1,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,23,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,21,White,Not Hispanic,Handgun,0,2,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,21,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Nevada,Clark,Murder or Manslaughter,Male,59,White,Hispanic,Firearm,0,1,Yes,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Male,19,Black,Unknown,Firearm,0,0,No,False
Sheriff,Texas,Texas_othercity,Murder or Manslaughter,Female,41,White,Not Hispanic,Rifle,0,0,Yes,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,69,Black,Not Hispanic,Blunt Object,0,0,No,False
Sheriff,California,Los Angeles,Murder or Manslaughter,Male,29,Black,Not Hispanic,Handgun,0,0,No,False
